Brand,Speed,Price,Discount,Sales per Month,Ratings count,Ratings
Frontech,707,1499.,56,100,67,3.2
TP-Link,773,1999.,56,100,448,4.5
TP-Link,304,1999.,56,100,4300,4.5
D-Link,1500,1749,44,100,1100,4.2
Tenda,224,11299,44,200,14200,3.8
TP-Link,973,5199,63,50,448,4.2
TP-Link,1200,2699,63,100,2200,4.5
TP-Link,177,1034,50,500,31800,4.1
GEONIX,337,8499,50,50,165,4.3
Resonate,238,1999,6,1000,2300,3.4
TP-Link,615,2599,6,100,10100,4.1
Dime,560,994,43,3000,8300,4.3
Cuzor,827,1798,43,2000,18800,4.0
Conbre,144,8999,43,300,1500,4.4
LAPCARE,300,239,43,100,35,3.8
TP-Link,146,1499,71,50,98,4.0
E,911,2157,71,100,550,4.1
D-Link,1500,2099,72,200,1100,4.1
D-Link,3000,6499,72,50,164,&
GEONIX,807,30990,38,500,165,3.8
TP-Link,784,1499.,38,3000,31800,3.9
Dime,809,1999.,31,100,8300,3.4
D-Link,1500,1999.,31,100,1100,4.3
TP-Link,826,2699,57,100,448,4.0
TP-Link,141,3999,57,50,4300,3.8
TP-Link,945,994,2,200,448,4.5
Tenda,307,2599,50,500,14200,4.5
D-Link,1200,239,50,3000,9300,4.5
Oakter,576,2699,67,100,1400,4.2
TP-Link,1200,11299,67,2000,2200,4.2
Cuzor,652,5199,54,400,18800,4.2
Tenda,867,8499,54,100,11800,4.1
TP-Link,956,1034,46,1000,10100,4.4
Resonate,881,1899,46,700,2300,4.1
TP-Link,571,949,39,3000,98,4.3
Self-Adhesive,399,1999,39,500,98,4.1
TP-Link,1200,1499,39,100,7800,4.1
Amazon,958,2149,50,500,1500,4.3
TP-Link,345,8999,50,50,448,4.2
TP-Link,333,1798,50,100,31800,3.9
GEONIX,610,6499,52,3000,165,4.5
D-Link,1500,299,52,100,1100,&
Dime,336,2399,72,100,8300,4.3
TP-Link,196,999,72,50,448,3.4
TP-Link,604,11299,71,200,4300,3.8
TP-Link,738,1499.,71,100,448,4.5
Tenda,287,1999.,57,2000,14200,4.4
TP-Link,1200,1999.,57,400,2200,4.4
Cuzor,840,2599,2,100,18800,4.3
Tenda,867,994,50,1000,11800,4.3
